[2026-07-15 19:22:52,066] Runner starting.
[2026-07-15 19:22:53,958] Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
[2026-07-15 19:22:53,997] Runner version: 6.0.4
[2026-07-15 19:22:53,998] Runner runtime: linux-docker
[2026-07-15 19:22:53,998] Metrics registry configured: io.micrometer.core.instrument.simple.SimpleMeterRegistry
[2026-07-15 19:22:54,044] Copying Docker cli to working directory.
[2026-07-15 19:22:54,340] Starting websocket listening to RUNNER_UPDATED events.
[2026-07-15 19:22:54,386] Updating runner status to "ONLINE" and checking for new steps assigned to the runner after 0 seconds and then every 30 seconds.
[2026-07-15 19:22:54,435] Updating runner state to "ONLINE".
[2026-07-15 19:23:24,408] Updating runner state to "ONLINE".
[2026-07-15 19:23:54,396] Updating runner state to "ONLINE".
[2026-07-15 19:24:24,418] Updating runner state to "ONLINE".
[2026-07-15 19:24:54,406] Updating runner state to "ONLINE".
